Itération 0 ; Taille 500 ; Temps 0.005102899973280728
Itération 1 ; Taille 13099 ; Temps 0.13472159998491406
Itération 2 ; Taille 25699 ; Temps 0.26554870000109076
Itération 3 ; Taille 38299 ; Temps 0.42584020004142076
Itération 4 ; Taille 50898 ; Temps 0.5277945999987423
Itération 5 ; Taille 63498 ; Temps 0.6530095000052825
Itération 6 ; Taille 76098 ; Temps 0.8008378999074921
Itération 7 ; Taille 88697 ; Temps 0.9234224000247195
Itération 8 ; Taille 101297 ; Temps 1.1133122000610456
Itération 9 ; Taille 113897 ; Temps 1.2413081000559032
Itération 10 ; Taille 126496 ; Temps 1.3295194999082014
Itération 11 ; Taille 139096 ; Temps 1.4609935999615118
Itération 12 ; Taille 151696 ; Temps 1.7126403999282047
Itération 13 ; Taille 164295 ; Temps 1.7492002999642864
Itération 14 ; Taille 176895 ; Temps 1.850952500011772
Itération 15 ; Taille 189495 ; Temps 1.9923607000382617
Itération 16 ; Taille 202094 ; Temps 2.2011632000794634
Itération 17 ; Taille 214694 ; Temps 2.2718902999768034
Itération 18 ; Taille 227294 ; Temps 2.407630700035952
Itération 19 ; Taille 239893 ; Temps 2.550643700058572
Itération 20 ; Taille 252493 ; Temps 2.6640794000122696
Itération 21 ; Taille 265093 ; Temps 2.7991139999357983
Itération 22 ; Taille 277692 ; Temps 2.9277414999669418
Itération 23 ; Taille 290292 ; Temps 3.1020742999389768
Itération 24 ; Taille 302892 ; Temps 3.220259299967438
Itération 25 ; Taille 315491 ; Temps 3.4562887999927625
Itération 26 ; Taille 328091 ; Temps 3.5074168000137433
Itération 27 ; Taille 340691 ; Temps 3.6255998000269756
Itération 28 ; Taille 353290 ; Temps 3.7388265000190586
Itération 29 ; Taille 365890 ; Temps 3.8909112999681383
Itération 30 ; Taille 378490 ; Temps 4.003496700082906
Itération 31 ; Taille 391089 ; Temps 4.138065300066955
Itération 32 ; Taille 403689 ; Temps 4.256815899978392
Itération 33 ; Taille 416289 ; Temps 4.407625399995595
Itération 34 ; Taille 428888 ; Temps 4.47346419992391
Itération 35 ; Taille 441488 ; Temps 4.62918039993383
Itération 36 ; Taille 454088 ; Temps 4.856565900030546
Itération 37 ; Taille 466687 ; Temps 4.912033600034192
Itération 38 ; Taille 479287 ; Temps 5.080047800089233
Itération 39 ; Taille 491887 ; Temps 5.242664499906823
Itération 40 ; Taille 504486 ; Temps 5.387308800010942
Itération 41 ; Taille 517086 ; Temps 5.495986700057983
