Itération 0 ; Taille 500 ; Temps 0.022412000107578933
Itération 1 ; Taille 13099 ; Temps 0.20098630001302809
Itération 2 ; Taille 25699 ; Temps 0.3836844000034034
Itération 3 ; Taille 38299 ; Temps 0.5494194000493735
Itération 4 ; Taille 50898 ; Temps 0.7319598000030965
Itération 5 ; Taille 63498 ; Temps 0.9658634000224993
Itération 6 ; Taille 76098 ; Temps 1.151674299966544
Itération 7 ; Taille 88697 ; Temps 1.3541335000190884
Itération 8 ; Taille 101297 ; Temps 1.5536910999799147
Itération 9 ; Taille 113897 ; Temps 1.8531727000372484
Itération 10 ; Taille 126496 ; Temps 2.1807715999893844
Itération 11 ; Taille 139096 ; Temps 2.2433147999690846
Itération 12 ; Taille 151696 ; Temps 2.4321219999110326
Itération 13 ; Taille 164295 ; Temps 2.8314720999915153
Itération 14 ; Taille 176895 ; Temps 3.251404599985108
Itération 15 ; Taille 189495 ; Temps 3.4072122999932617
Itération 16 ; Taille 202094 ; Temps 3.663807400036603
Itération 17 ; Taille 214694 ; Temps 3.959896699991077
Itération 18 ; Taille 227294 ; Temps 3.9054825000930578
Itération 19 ; Taille 239893 ; Temps 4.267936400021426
Itération 20 ; Taille 252493 ; Temps 4.442358999978751
Itération 21 ; Taille 265093 ; Temps 4.637691900017671
Itération 22 ; Taille 277692 ; Temps 4.637596299988218
Itération 23 ; Taille 290292 ; Temps 5.084335800027475
Itération 24 ; Taille 302892 ; Temps 5.27738640003372
Itération 25 ; Taille 315491 ; Temps 5.4608356999233365
Itération 26 ; Taille 328091 ; Temps 5.672763200011104
Itération 27 ; Taille 340691 ; Temps 5.917690599919297
Itération 28 ; Taille 353290 ; Temps 5.941213799989782
Itération 29 ; Taille 365890 ; Temps 6.358692700043321
Itération 30 ; Taille 378490 ; Temps 6.545901199919172
Itération 31 ; Taille 391089 ; Temps 7.107118899933994
Itération 32 ; Taille 403689 ; Temps 7.265298800077289
Itération 33 ; Taille 416289 ; Temps 7.924404900055379
Itération 34 ; Taille 428888 ; Temps 8.11652550008148
Itération 35 ; Taille 441488 ; Temps 8.104429699946195
